2024-11-16 22:00:51 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 22:00:51 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 22:01:35 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 22:01:51 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 22:01:52 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 22:03:04 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 22:03:20 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 22:03:21 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 22:04:30 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 22:04:47 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 22:04:48 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 22:06:44 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 22:06:59 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 22:07:00 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 22:08:36 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 22:08:53 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 22:08:53 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 22:10:09 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 22:14:58 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 22:14:58 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 22:17:30 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
2024-11-16 22:17:47 [info] : [Debug Manager] Starting launch in 'debug' mode using configuration: {"name":"gps-parser","type":"gdb","request":"launch","target":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build/csim.exe","cwd":"${workspaceFolder}/gps-parser/gps-parser/hls/csim/build","gdbpath":"${env:XILINX_HLS}/tps/lnx64/gdb-9.2/bin/gdb","valuesFormatting":"prettyPrinters","__configUri":"file:///ecel/UFAD/mark.gross/fnn-gps/gps-parser/_ide/.theia/launch.json"} 
2024-11-16 22:17:47 [info] : [Debug Manager] Launch session has started on the configuration 'gps-parser' 
2024-11-16 22:18:33 [info] : [Debug Manager] Launch session has terminated on the configuration 'gps-parser' 
